timestamp [s];actual_current [A];target_current [A];timestep [us];motor_torque [N.m];encoder_paddle_pos [deg];hall_voltage [V];encoder_paddle_vel [deg/s];led_0 [0.0-1.0];led_1 [0.0-1.0];led_2 [0.0-1.0];led_3 [0.0-1.0]
992.6651;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.66615;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.6672;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.66825;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.6693;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.67;-0.0004305528419;0;350;0;0.9119999409;2.517205238;0;0;0;0;0
992.67105;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.6721;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.67315;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.6742;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.67525;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.6763;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.677;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.67805;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.6791;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.68015;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.6812;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.68225;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.68295;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.684;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.68505;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.6861;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.68715;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.6882;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.68925;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.68995;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.691;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.69205;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.6931;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.69415;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.6952;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.69625;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.69695;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.698;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.69905;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.7001;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.70115;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.7022;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
